source,target,closeness_centrality,length,link_category,betweenness_centrality,link_type,degree_centrality,maxflow,katz_centrality,id,eigenvector_centrality
W_JIN2,W_JIN8,0.0008710316802828313,36.767,Water pipe,0.02548451889309844,Water,0.0038071065989847713,0.0143723248216541,-0.008958225885651108,W_PMA481,2.907475310046743e-18
W_JIN4,W_JVN842,0.0008731902503398112,99.216,Water pipe,0.025629367590586764,Water,0.0031725888324873096,0.0143393496792704,-0.012442266116798526,W_PMA483,-2.7723783149938396e-18
W_JIN4,W_JIN6,0.000874390851802823,34.668,Water pipe,0.02576938799815881,Water,0.0038071065989847713,0.0143063745368866,-0.01087568962843794,W_PMA484,-3.4160424674790892e-18
W_JIN6,W_JVN843,0.0008754641502791887,57.89,Water pipe,0.02591906498556341,Water,0.0031725888324873096,0.0139710291114626,0.0035393788696784787,W_PMA485,6.870005807721014e-19
W_JIN8,W_JVN841,0.0008717783239244711,108.761,Water pipe,0.025540848942121677,Water,0.0031725888324873096,0.0143393496792704,-0.010425445859684286,W_PMA482,-9.070394426661824e-21
W_JIN10,W_JVN837,0.0008734328188592411,69.637,Water pipe,0.025650290180223967,Water,0.0031725888324873096,0.0154349740316153,0.006340951678840281,W_PMA476,-7.633795020506527e-18
W_JIN849,W_JIN848,0.0008380746152994887,67.85,Water pipe,0.03269235102311463,Water,0.0038071065989847713,0.0071705230226083,-0.00840838302490378,W_PMA489,-1.3083893367773127e-17
W_JIN849,W_JVN850,0.0008206787161668552,68.591,Water pipe,0.03081092738573852,Water,0.0031725888324873096,0.0071375478802246,0.010213610840597766,W_PMA490,-1.2250815065494563e-17
W_JIN848,W_JVN847,0.0008593113528902467,82.96,Water pipe,0.03462527641959771,Water,0.0031725888324873096,0.0075058684480321,0.005723447236231574,W_PMA488,-1.1433863296235802e-17
W_JIN16,W_JIN852,0.0007750301526561772,12.237,Water pipe,0.027402154704846637,Water,0.0038071065989847713,0.0071375478802246,-0.007280058753146131,W_PMA492,5.1887794145835946e-18
W_JIN16,W_JIN853,0.0007707210623212292,34.876,Water pipe,0.025839398201944835,Water,0.0038071065989847713,0.0069402858676203,-0.009166824575633687,W_PMA493,5.435481876520271e-18
W_JIN853,W_JVN854,0.0007652830276910268,25.59,Water pipe,0.024299173718652325,Water,0.0031725888324873096,0.0065457618387766,0.02705499853823946,W_PMA494,3.1338280531237038e-18
W_JIN859,W_JIN858,0.0007207769397390633,35.25,Water pipe,0.020389868316439682,Water,0.0038071065989847713,0.006120954516862,-0.00872591539565243,W_PMA497,-5.972815200763167e-19
W_JIN859,W_JVN860,0.0007107200450883772,153.821,Water pipe,0.019242344746337743,Water,0.0031725888324873096,0.0058842400995507,-0.009515067646939422,W_PMA498,-6.581175792040392e-18
W_JIN858,W_JVN857,0.0007264173805492283,57.22,Water pipe,0.021553486186262547,Water,0.0031725888324873096,0.0065457618387766,0.007819788505184309,W_PMA496,5.4603933102217475e-18
W_JIN862,W_JVN861,0.0006976240342360226,119.261,Water pipe,0.018297609352719454,Water,0.0038071065989847713,0.0058842400995507,-0.006417336375094891,W_PMA499,2.342411394031239e-17
W_JIN862,W_JVN867,0.0006880505589259625,133.701,Water pipe,0.01701811252490593,Water,0.0038071065989847713,0.0052565347072049,-0.012654688525175371,W_PMA503,1.9914994428488772e-17
W_JIN864,W_JIN1519,0.0006784740154925778,133.064,Water pipe,0.01569837994779009,Water,0.0038071065989847713,0.0052565347072049,-0.02254979070611355,W_PMA500,-2.2040715600940868e-17
W_JIN864,W_JIN865,0.0006742550919388495,46.3,Water pipe,0.015259005565408844,Water,0.0038071065989847713,0.0046618044572389,-0.006257348040008276,W_PMA501,-2.3992891051889962e-17
W_JIN865,W_JVN866,0.0006727208593292375,32.45,Water pipe,0.014826068902915965,Water,0.0031725888324873096,0.0043856376388521,0.028103445948631848,W_PMA502,-1.1236642725789934e-17
W_JIN110,W_JVN1021,0.0008224924735836192,183.691,Water pipe,0.13014655469325873,Water,0.005076142131979695,0.0010253164962856,-0.037960275219439905,W_PMA640,1.758479119193126e-18
W_JIN110,W_JVN1022,0.0008235989839407603,62.943,Water pipe,0.13036382773949123,Water,0.005076142131979695,0.001167269438193,0.01601397902499705,W_PMA641,3.3163995016261772e-18
W_JIN34,W_JIN120,0.0008221480186613757,175.816,Water pipe,0.13010470951398434,Water,0.005710659898477157,0.0008833635487018,-0.01628715663363845,W_PMA638,-1.6217457193104487e-17
W_JIN34,W_JVN1020,0.0008217521184263395,52.23,Water pipe,0.13012885096356572,Water,0.005076142131979695,0.0010253164962856,-0.0019733063023336913,W_PMA639,-2.4925869788391054e-18
W_JIN118,W_JIN122,0.0008245874934503755,103.09,Water pipe,0.13047809726750978,Water,0.005076142131979695,0.0007887282578838,-0.009604600928782982,W_PMA635,-5.421900897217601e-18
W_JIN118,W_JVN1018,0.0008232820567850299,75.735,Water pipe,0.13024955821147266,Water,0.004441624365482233,0.0008715341387691,-0.010778214488381841,W_PMA636,-6.630166112896802e-18
W_JIN44,W_JIN64,0.0008015800437560347,77.057,Water pipe,0.058057772098278226,Water,0.005076142131979695,0.0009585215436618,-0.013324691476165045,W_PMA631,-1.2072434563818182e-17
W_JIN44,W_JVN1015,0.00081545402772142,35.036,Water pipe,0.06200087552990482,Water,0.004441624365482233,0.0011359627210433,0.007155365412484191,W_PMA632,-8.464551931168109e-18
W_JVN1013,W_JIN68,0.0007603704520833484,101.221,Water pipe,0.051761682047452434,Water,0.005076142131979695,0.0008165686017563,-0.01233315223031525,W_PMA629,-1.4112255249548537e-17
W_JIN52,W_JVN1010,0.0007309653040013131,49.169,Water pipe,0.047099163418300505,Water,0.004441624365482233,0.0007219333052596,-0.0012550590345096384,W_PMA627,3.910323525348219e-18
W_JIN52,W_JIN68,0.0007426865030988703,93.618,Water pipe,0.05012811062577856,Water,0.005076142131979695,0.0008047391918236,-0.013011710185333402,W_PMA628,-6.013600192414547e-18
W_JIN74,W_JVN1006,0.0007027402874225815,73.039,Water pipe,0.04158847519385584,Water,0.004441624365482233,0.0006036391888968,-0.013613691896241637,W_PMA624,-6.9141900759102145e-18
W_JIN74,W_JIN72,0.00071372432873373,93.64,Water pipe,0.04421184604836659,Water,0.005076142131979695,0.0006627862442393,-0.016871592638657115,W_PMA625,-1.4917375980697122e-17
W_JIN58,W_JVN1004,0.0006806413018143368,143.976,Water pipe,0.036344952344778525,Water,0.005076142131979695,0.0004783236050698,-0.03115681564480795,W_PMA622,4.491782991875206e-19
W_JIN58,W_JIN1511,0.0006888150920168538,22.013,Water pipe,0.03920169054524268,Water,0.005710659898477157,0.0006036391888968,-0.012461138809847876,W_PMA623,1.0644247912406121e-18
W_JIN64,W_JVN1014,0.0007813534406767232,100.463,Water pipe,0.056195661620567224,Water,0.0031725888324873096,0.000946692133729,-0.013404781505429755,W_PMA630,-8.679172665800834e-18
W_JIN72,W_JVN1009,0.0007235070601988673,46.05,Water pipe,0.045616878414003324,Water,0.0031725888324873096,0.0007219333052596,-0.010543795238179087,W_PMA626,-7.15966586405617e-18
W_JIN80,W_JIN90,0.0006640798584355689,195.514,Water pipe,0.033010213442602895,Water,0.0076142131979695426,0.0005477228204221,-0.014006393655601348,W_PMA620,-8.056813107920582e-19
W_JIN80,W_JVN1003,0.0006724730990503376,25.989,Water pipe,0.03538412265143931,Water,0.005076142131979695,0.0004783236050698,0.016509928119930493,W_PMA621,-4.027734135228832e-18
W_JIN90,W_JVN1002,0.0006562945835937842,15.878,Water pipe,0.031159368974696542,Water,0.005076142131979695,0.0006084471351571,0.025028812877727562,W_PMA619,-2.3207460640069226e-18
W_JIN98,W_JVN1000,0.0006449281947499077,102.305,Water pipe,0.02909286089052979,Water,0.005076142131979695,0.0006474841941839,-0.00953443785547668,W_PMA617,-2.460919556055494e-17
W_JIN98,W_JVN1001,0.0006513908455367201,157.512,Water pipe,0.03042064061750609,Water,0.005076142131979695,0.0006084471351571,-0.030545233457406566,W_PMA618,-3.963353880889301e-17
W_JIN104,W_JVN999,0.0006412300128416139,90.233,Water pipe,0.028608422468929952,Water,0.004441624365482233,0.0006474841941839,-0.027466126513340343,W_PMA616,-7.516935450085776e-18
W_JIN104,W_JIN1510,0.0006391507690639128,72.809,Water pipe,0.027967869340037144,Water,0.005710659898477157,0.0006778463505109,-0.0068607126819009625,W_PMA1040,-1.7887849368602617e-17
W_JIN120,W_JVN1019,0.0008227055515225674,25.047,Water pipe,0.1301739150027843,Water,0.0031725888324873096,0.0008715341387691,0.01213523864592558,W_PMA637,-1.635815372640783e-17
W_JIN122,W_JIN1017,0.000825959105472118,50.934,Water pipe,0.13062133653502603,Water,0.0038071065989847713,0.0007414106124748,-0.026500473747803798,W_PMA634,1.4643940382277612e-18
W_JIN961,W_JVN960,0.0006885674044077117,60.261,Water pipe,0.023127508698969,Water,0.004441624365482233,0.0009435031075215,0.008713954655248428,W_PMA575,1.595402160264316e-17
W_JIN961,W_JVN962,0.0006977960539871166,195.76,Water pipe,0.02450839961502435,Water,0.006979695431472081,0.0010736266338213,-0.012982964031931119,W_PMA576,2.212974678842284e-17
W_JIN964,W_JVN963,0.0007123486852699638,150.92,Water pipe,0.027226726837888557,Water,0.004441624365482233,0.0012747266367535,-0.023907603731132106,W_PMA577,-9.989304916579495e-19
W_JIN964,W_JIN140,0.0007266591615627307,122.487,Water pipe,0.02942520817976689,Water,0.006979695431472081,0.0014166795729844,-0.0115829651588946,W_PMA578,-1.2323255008375914e-18
W_JIN140,W_JVN966,0.0007348835242640817,17.041,Water pipe,0.03237046502869614,Water,0.005076142131979695,0.0014758266340052,0.0235432991381962,W_PMA580,-4.825401158731659e-18
W_JIN150,W_JVN967,0.0007466316148264118,150.687,Water pipe,0.03354695833829574,Water,0.005076142131979695,0.0014758266340052,-0.02692889449410092,W_PMA581,1.9118063079769354e-17
W_JIN150,W_JVN12,0.0007652770399252248,99.094,Water pipe,0.03695894987913181,Water,0.005076142131979695,0.0016887560468639,-0.005597086935931436,W_PMA582,2.2441104553005144e-17
W_JIN152,W_JVN969,0.0007825018883818246,98.243,Water pipe,0.03844123488342899,Water,0.005076142131979695,0.0016887560468639,-0.011583041916129886,W_PMA583,-2.094252387336662e-17
W_JIN152,W_JIN164,0.0008060115880524801,136.247,Water pipe,0.04229581966659048,Water,0.005710659898477157,0.0018661972299226,-0.016219059621473342,W_PMA584,-2.2576211782032015e-17
W_JIN162,W_JVN971,0.0008288900651909111,61.001,Water pipe,0.04586231648474743,Water,0.004441624365482233,0.0019371737008747,0.04161237191783996,W_PMA586,8.677454999225284e-18
W_JIN162,W_JIN973,0.0008659040902979395,204.881,Water pipe,0.04945778304240204,Water,0.005710659898477157,0.0020554678229133,-0.05864218986078283,W_PMA587,2.7002032917923238e-17
W_JIN164,W_JVN970,0.0008209130743104087,3.674,Water pipe,0.04408067750564105,Water,0.0031725888324873096,0.0019371737008747,0.03241937234669563,W_PMA585,-5.6898777972033355e-18
W_JIN974,W_JIN973,0.0008937040413299268,175.77,Water pipe,0.169270992599841,Water,0.005710659898477157,0.0024832986063878,-0.05580204307511629,W_PMA589,2.2789677556759666e-17
W_JIN974,W_JVN975,0.000891810016798202,6.77,Water pipe,0.1690746421432457,Water,0.004441624365482233,0.0026725691993786,0.04512939693471175,W_PMA590,7.314596811722683e-18
W_JIN172,W_JIN1665,0.0008878413428541502,129.936,Water pipe,0.23642043461046966,Water,0.0038071065989847713,0.0058132218626671,-0.010701161706578574,W_PMA610,-3.534126850797298e-18
W_JIN172,W_JIN174,0.0008926498969686671,7.93,Water pipe,0.2368662467127393,Water,0.0038071065989847713,0.005884198333619,-0.019596532591341878,W_PMA611,-4.627828066694239e-19
W_JIN174,W_JVN997,0.0008933486632794495,12.333,Water pipe,0.23730562109512052,Water,0.0031725888324873096,0.0059196865690949,0.016038755183630987,W_PMA612,-5.3176472937374775e-18
W_JIN176,W_JIN178,0.0008932508300728883,18.764,Water pipe,0.15407958309326003,Water,0.0038071065989847713,0.005539173431029,-0.01414156612328455,W_PMA615,-5.741700003617492e-18
W_JIN176,W_JIN1640,0.0008906219457123563,144.38,Water pipe,0.1538751854868043,Water,0.0038071065989847713,0.0055746616665051,-0.011701200737457144,W_PMA1107,-8.514325451089462e-18
W_JIN178,W_JIN973,0.0008945454655713935,25.866,Water pipe,0.15428398069971577,Water,0.004441624365482233,0.0054918557856204,-0.06189109649258529,W_PMA614,1.6166333111857374e-17
W_JIN978,W_JVN976,0.0008907233864111437,225.45,Water pipe,0.1689668103351155,Water,0.005076142131979695,0.0026725691993786,-0.03351514717215709,W_PMA591,7.528072589954448e-18
W_JIN978,W_JVN979,0.0008897106150583705,21.81,Water pipe,0.16898290463483642,Water,0.005076142131979695,0.0028381809611485,0.0305168420091086,W_PMA593,5.82878946019419e-18
W_JIN981,W_JVN980,0.0008903023666058496,197.02,Water pipe,0.1689877329247527,Water,0.005076142131979695,0.0028381809611485,-0.03491296828372357,W_PMA594,-2.9970319524512796e-18
W_JIN981,W_JVN982,0.0008912236926170716,50.59,Water pipe,0.16918891167126426,Water,0.005076142131979695,0.0029919633129865,0.020527884728502307,W_PMA595,1.1914542454206359e-17
W_JIN934,W_JVN933,0.0007990846454436376,101.061,Water pipe,0.11851761842990449,Water,0.0038071065989847713,0.0182659649776284,-0.01657228882582574,W_PMA554,-1.4195918601771577e-18
W_JIN934,W_JIN1321,0.0008054466068746198,45.293,Water pipe,0.11955570076190414,Water,0.004441624365482233,0.0182139155648387,-0.009620845053583455,W_PMA877,-4.952677889295551e-18
W_JVN1323,W_JIN1324,0.0008201863305244744,79.952,Water pipe,0.1261785050970647,Water,0.0038071065989847713,0.0129550153938449,-0.04329548350298536,W_PMA879,-1.0071825033205261e-17
W_JIN1325,W_JIN1324,0.0008312846343171532,153.419,Water pipe,0.12687216941503657,Water,0.004441624365482233,0.0129550153938449,-0.04477688284523937,W_PMA880,-1.7867816431707638e-17
W_JIN1325,W_JVN1326,0.0008392660206543753,9.542,Water pipe,0.12797301951594783,Water,0.0038071065989847713,0.0129289906878287,-0.002951206648540204,W_PMA881,-7.489991198275823e-18
W_JIN935,W_JIN936,0.0008620987725596544,40.533,Water pipe,0.13553412152483832,Water,0.004441624365482233,0.013030283321925,0.01629246834691409,W_PMA555,-1.6420019943477683e-18
W_JIN935,W_JIN1328,0.0008511046104224203,163.991,Water pipe,0.13477929886792694,Water,0.0038071065989847713,0.0130066244963821,-0.053196622135884164,W_PMA883,1.3797351127516961e-18
